solution_1_3_87 (3);414,4167516;240,4362744;173,9804772
solution_1_3_85 (4);416,0692299;237,9938503;178,0753796
solution_1_3_82 (4);416,144859;237,7451844;178,3996746
solution_1_3_94 (4);417,8700705;241,5690944;176,3009761
solution_1_3_88 (3);418,1419089;238,203731;179,9381779
solution_1_3_81;419,9255369;234,8788991;185,0466377
solution_1_3_87 (4);420,5266269;239,1058026;181,4208243
solution_1_3_90;422,0752169;234,0459328;188,0292842
solution_1_3_89 (3);422,5382972;238,4010954;184,1372017
solution_1_3_82 (2);424,403205;236,9438774;187,4593275
solution_1_3_84 (2);424,7013612;241,1124241;183,5889371
solution_1_3_94;425,1938829;245,1521258;180,041757
solution_1_3_85 (2);427,0004501;238,6132484;188,3872017
solution_1_3_92;429,7604772;233,98282;195,7776573
solution_1_3_83;430,1758948;240,7192787;189,4566161
solution_1_3_86;430,4708623;238,2441811;192,2266811
solution_1_3_94 (2);433,1756887;235,000526;198,1751627
solution_1_3_85 (3);434,574539;234,7252983;199,8492408
solution_1_3_88 (4);436,1338015;238,6874892;197,4463124
solution_1_3_90 (3);436,5458785;236,4531453;200,0927332
solution_1_3_83 (2);436,5512907;238,040987;198,5103037
solution_1_3_89;440,027256;232,9334382;207,0938178
solution_1_3_86 (3);440,1741161;233,478346;206,6957701
solution_1_3_80 (3);440,9694414;233,0903742;207,8790672
solution_1_3_88 (2);442,005;240,0836334;201,9213666
solution_1_3_89 (4);443,6503308;236,9084653;206,7418655
solution_1_3_90 (2);443,9253145;240,4583948;203,4669197
solution_1_3_86 (2);443,9928416;245,2493492;198,7434924
solution_1_3_85;444,7454393;237,8614913;206,8839479
solution_1_3_92 (2);446,4619577;239,0644523;207,3975054
solution_1_3_83 (3);452,4368113;236,7274837;215,7093275
solution_1_3_88;452,7811876;236,444962;216,3362256
solution_1_3_93 (3);452,8609111;239,552885;213,308026
solution_1_3_93 (2);453,370244;240,062218;213,308026
solution_1_3_81 (3);455,0170174;234,8586659;220,1583514
solution_1_3_80 (4);455,4607755;235,3024241;220,1583514
solution_1_3_80 (2);456,1441866;237,2781345;218,8660521
solution_1_3_87;459,3187744;235,8442625;223,4745119
solution_1_3_84;459,5525163;236,6512148;222,9013015
solution_1_3_87 (2);459,706833;235,2458785;224,4609544
solution_1_3_81 (2);460,238064;240,0797126;220,1583514
solution_1_3_93;460,8388883;238,4440944;222,3947939
solution_1_3_92 (4);461,1412961;230,8012744;230,3400217
solution_1_3_91 (2);461,2209273;238,7328579;222,4880694
solution_1_3_81 (4);461,8378416;240,1708134;221,6670282
solution_1_3_89 (2);463,3178959;235,4681128;227,8497831
solution_1_3_86 (4);463,3694414;231,9920011;231,3774403
solution_1_3_80;464,3124512;244,1540998;220,1583514
solution_1_3_90 (4);467,6437364;238,8286605;228,8150759
solution_1_3_82 (3);471,8223265;234,4942354;237,3280911
solution_1_3_82;474,2282592;241,1827061;233,0455531
solution_1_3_83 (4);477,6882538;239,6481236;238,0401302
solution_1_3_94 (3);485,0543601;238,7756182;246,2787419
solution_1_3_84 (3);485,6567625;234,5656562;251,0911063
solution_1_3_91 (3);485,8251735;240,9835249;244,8416486
solution_1_3_91 (4);489,1847126;238,1424132;251,0422993
solution_1_3_91;499,1092787;239,07891;260,0303688
solution_1_3_92 (3);501,2553633;232,595385;268,6599783
solution_1_3_84 (4);502,3035738;238,2596475;264,0439262
solution_1_3_93 (4);519,1225271;237,1431345;281,9793926
solution_1_3_95 (3);525,7622831;232,0947126;293,6675705
solution_1_3_95 (2);529,1112039;235,4436334;293,6675705
solution_1_3_95;532,4435466;232,0525488;300,3909978
solution_1_3_95 (4);540,391936;240,785103;299,606833
