Iteracion;Fitness global;Mejor fitness;Coste transporte;Coste de stock;Coste total;;
0;263;217;217;6;195,9;;
199;212;212;212;6;191,4;;
;;;;;4,5;MEJORA;Euros por camión
Iteracion;Fitness global;Mejor fitness;Coste transporte;Coste de stock;Coste total;;
0;274;240;240;33;219,3;;
199;232;232;232;13;210,1;;
;;;;;9,2;MEJORA;Euros por camión
Iteracion;Fitness global;Mejor fitness;Coste transporte;Coste de stock;Coste total;;
0;281;252;252;128;239,6;;
199;243;243;243;33;222;;
;;;;;17,6;MEJORA;Euros por camión
Iteracion;Fitness global;Mejor fitness;Coste transporte;Coste de stock;Coste total;;
0;280;251;251;200;245,9;;
199;236;236;236;28;215,2;;
;;;;;30,7;MEJORA;Euros por camión
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;; ;;;;
